,n_uhc,n_upc,year,yweight,resid,region,age,sex,ppinc_1,nummonth,educat,healthev,weight,height,sport,smoker,htype,hsize,ch0_5,ch6_12,ch13_17,elder,inc_1,inc_2,inc_3,inc_4,inc_5,inc_6,inc_7,inc_8,inc_9,inc_10,inc_11,cashinc,inkind,privlg,totalinc,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_6_1,exp_6_2,exp_7,exp_8,exp_9,exp_10,exp_11,exp_12,exp_13,exp_14,exp_15,exp_16,exp_17,exp_17_1,exp_18,exp_19,exp_20,exp_21,exp_22,exp_23,exp_24,exp_25,exp_26,totalexp,hh_blint,hh_int1,hh_int2,hh_int3,hh_int4,bmi,savings
726,397.0,1.0,2017.0,663,Small city,Brest oblast,44.0,Female,325.0,12.0,Secondary specialized education,Good,82.0,164.0,No,No,2 and more adults with children,3.0,0.0,1.0,0.0,0.0,875.8333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.8333333333334,1.9976666666666671,0.0,877.831,408.4583333333333,24.488749999999996,77.9225,51.041666666666664,0.0,61.052499999999995,0.0,61.052499999999995,31.485833333333332,74.33333333333333,0.0,0.0,37.083333333333336,0.0,45.30916666666667,13.954166666666666,3.436666666666667,0.0,0.0,0.0,41.32666666666667,17.2,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,895.42625,1.0,1.0,1.0,1.0,1.0,30.487804878048784,-17.595249999999965
8177,4551.0,1.0,2017.0,608,Large city,Minsk oblast,41.0,Female,495.8333333333333,12.0,"Higher education, After Higher education","Not very good, but not bad",63.0,160.0,"Yes, in free time",No,2 and more adults with children,4.0,0.0,1.0,1.0,0.0,1973.7916666666665,0.0,0.0,0.0,0.0,0.0,0.0,51.66666666666667,0.0,0.0,0.0,2025.458333333333,69.82825,0.0,2095.2865833333335,697.6987499999999,71.72916666666667,71.10833333333333,58.07166666666667,0.0,49.38666666666668,0.0,49.38666666666668,13.220833333333335,0.0,27.75,10.333333333333332,83.75,0.0,83.6725,58.249166666666675,1.6908333333333332,67.43916666666667,39.62958333333333,39.62958333333333,76.99666666666667,224.80166666666665,0.0,321.3,0.0,0.0,0.0,108.33333333333334,0.0,2065.1616666666664,1.0,1.0,1.0,1.0,1.0,24.609374999999996,30.124916666667104
9170,5106.0,1.0,2017.0,828,Rural,Minsk oblast,47.0,Male,246.38583333333332,11.0,Secondary education,"Not very good, but not bad",75.0,168.0,No,Yes,Household without children,3.0,0.0,0.0,0.0,0.0,433.0525,0.0,0.0,236.10416666666666,0.0,20.075,0.0,50.0,0.0,0.0,0.0,739.2316666666667,46.911591666666666,18.565,804.7082583333332,247.31750000000002,73.53125,17.941666666666666,15.6625,0.0,38.19083333333333,12.5,25.69083333333333,17.346666666666664,0.0,21.258333333333333,7.394999999999999,1.3916666666666666,0.0,42.27333333333333,19.05,0.0,0.0,10.0,10.0,12.954166666666667,3.75,44.457499999999996,0.0,0.0,0.0,18.916666666666668,138.66666666666669,0.0,730.10375,1.0,1.0,1.0,1.0,1.0,26.573129251700685,74.60450833333323
3329,1844.0,1.0,2017.0,482,Large city,Gomel oblast,27.0,Male,508.13166666666666,12.0,"Higher education, After Higher education","Not very good, but not bad",72.0,182.0,No,Yes,Household without children,2.0,0.0,0.0,0.0,0.0,1138.8566666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.8566666666668,25.053268499999998,0.0,1163.9099351666666,271.7654166666666,68.96833333333333,52.49083333333333,16.07916666666667,0.0,45.87916666666666,0.0,45.05833333333334,128.75583333333333,0.0,21.148333333333333,18.870833333333334,57.97916666666667,0.0,81.97916666666669,97.29333333333332,0.0,0.0,72.3125,72.3125,74.96583333333334,46.597500000000004,0.0,0.0,13.0,2.791666666666667,33.333333333333336,33.333333333333336,0.0,1137.54375,1.0,1.0,1.0,1.0,1.0,21.736505252988767,26.366185166666583
3530,1946.0,3.0,2017.0,1606,Large city,Gomel oblast,68.0,Female,0.0,0.0,Vocational school,"Not very good, but not bad",80.0,165.0,No,No,2 and more adults with children,4.0,0.0,1.0,0.0,1.0,962.5,0.0,0.0,292.8333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255.3333333333333,21.7323125,67.8425,1344.9081458333333,473.3191666666666,22.19,64.0925,38.3125,0.0,94.03833333333331,0.0,94.03833333333331,52.13666666666666,0.0,39.267500000000005,58.19083333333333,0.0,0.0,45.059999999999995,18.561666666666667,4.0,0.0,18.708333333333336,18.291666666666668,64.1325,8.616666666666667,0.0,133.33333333333334,0.0,0.0,0.0,44.583333333333336,0.0,1178.543333333333,1.0,1.0,1.0,1.0,1.0,29.384756657483933,166.3648125000002
9869,5479.0,1.0,2017.0,600,Large city,Mogilev oblast,68.0,Female,0.0,0.0,"Higher education, After Higher education","Not very good, but not bad",100.0,170.0,"Yes, in free time",No,Lone adult older working age,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,321.76166666666666,0.0,26.66666666666667,0.0,58.33333333333333,0.0,0.0,0.06,406.8216666666667,21.363929166666665,0.0,428.18559583333337,157.14125,0.0,2.9450000000000003,11.95,0.0,42.76,0.0,42.26,5.800833333333333,0.0,74.38166666666666,5.408333333333333,0.0,0.0,9.680833333333334,14.851666666666668,0.0,0.0,0.0,0.0,7.483333333333333,1.5416666666666667,0.0,0.0,0.0,0.0,0.0,42.916666666666664,0.0,376.86125000000004,1.0,1.0,1.0,1.0,1.0,34.602076124567475,51.324345833333325
417,216.0,2.0,2017.0,463,Large city,Brest oblast,55.0,Male,0.0,0.0,Vocational school,Good,68.0,174.0,No,Yes,Household without children,2.0,0.0,0.0,0.0,1.0,296.4466666666666,0.0,0.0,274.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.5166666666667,4.5488625,0.0,575.0655291666667,187.57,21.82375,18.0125,5.9174999999999995,0.0,49.275,0.0,49.275,7.18,0.0,46.59666666666667,21.36083333333333,0.0,0.0,24.869166666666665,10.474166666666667,0.0,0.0,0.0,0.0,12.892500000000002,5.15,0.0,120.83333333333334,0.0,0.0,0.0,0.0,0.0,531.9554166666667,1.0,1.0,1.0,1.0,1.0,22.460034350640772,43.110112500000014
8736,4870.0,2.0,2017.0,789,Small city,Minsk oblast,43.0,Female,298.7541666666667,12.0,Secondary specialized education,"Not very good, but not bad",72.0,169.0,No,No,2 and more adults with children,3.0,0.0,1.0,0.0,0.0,812.74,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,847.74,18.869765416666667,0.0,866.6097654166667,539.2625,0.0,117.65583333333333,36.108333333333334,0.0,60.91833333333334,0.0,60.91833333333334,14.09,0.0,21.8075,0.0,51.66666666666668,0.0,57.77166666666667,11.574999999999998,0.6866666666666666,14.18,0.0,0.0,31.052500000000002,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,50.41666666666667,0.0,1008.8583333333333,1.0,1.0,1.0,1.0,1.0,25.209201358495854,-142.24856791666662
7997,4454.0,1.0,2017.0,666,Large city,Minsk oblast,87.0,Female,0.0,0.0,Basic education,"Not very good, but not bad",60.0,164.0,No,No,Lone adult older working age,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,383.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.55,7.5806249999999995,0.0,391.130625,233.80791666666667,0.0,4.1825,2.8333333333333335,0.0,45.39333333333333,0.0,44.56166666666666,2.7441666666666666,0.0,20.756666666666668,0.0,0.0,0.0,4.326666666666667,3.2575000000000003,0.0,0.0,0.0,0.0,2.815,0.0,0.0,20.833333333333332,0.0,0.0,0.0,50.858333333333334,0.0,391.80875,1.0,1.0,1.0,1.0,1.0,22.308149910767405,-0.6781249999999659
2076,1132.0,1.0,2017.0,717,Large city,Vitebsk oblast,24.0,Female,317.8225,11.0,Secondary specialized education,Good,57.0,160.0,No,No,2 and more adults with children,3.0,1.0,0.0,0.0,0.0,790.2241666666667,0.0,0.0,0.0,21.688333333333333,0.0,0.0,104.16666666666666,0.0,0.0,0.0,916.0791666666667,38.775150000000004,8.0,962.8543166666666,268.79374999999993,63.358333333333334,49.0925,31.083333333333332,0.0,52.689166666666665,0.0,49.15583333333333,11.750833333333334,109.58333333333333,10.661666666666667,33.87833333333333,0.0,0.0,58.37416666666666,95.93333333333332,0.0,35.807500000000005,146.37916666666666,146.37916666666666,15.36,33.5,0.0,33.333333333333336,0.0,0.0,1.5250000000000001,12.5,0.0,1063.60375,1.0,1.0,1.0,1.0,1.0,22.265624999999996,-100.7494333333334
8813,4913.0,1.0,2017.0,438,Small city,Minsk oblast,64.0,Male,574.9166666666666,12.0,"Higher education, After Higher education","Not very good, but not bad",105.0,177.0,No,No,All adults older working age,2.0,0.0,0.0,0.0,2.0,574.9166666666666,0.0,0.0,648.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.25,141.02749583333338,41.230000000000004,1405.5074958333335,180.14875,0.0,4.216666666666667,0.0,0.0,154.2891666666667,0.0,63.94749999999999,22.182499999999997,0.0,27.234166666666663,3.666666666666667,68.0625,0.0,37.2075,12.153333333333334,0.0,0.0,0.0,0.0,7.225,4.583333333333334,36.494166666666665,116.16666666666667,169.75,0.0,0.0,324.5833333333333,0.0,1167.96375,1.0,1.0,1.0,1.0,1.0,33.51527338887293,237.54374583333356
7058,3902.0,2.0,2017.0,647,Minsk city,Minsk city,77.0,Female,0.0,0.0,"Higher education, After Higher education","Not very good, but not bad",74.0,170.0,"Yes, in free time",No,All adults older working age,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,723.5033333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.5033333333333,45.9457375,0.0,769.4490708333334,236.81999999999996,3.8512500000000003,6.666666666666667,12.579166666666666,0.0,81.93666666666665,0.0,33.4075,4.875,7.433333333333334,11.210833333333332,51.4425,0.0,0.0,4.9325,5.8774999999999995,0.0,0.0,0.0,0.0,16.34,0.0,0.0,150.0,112.0,0.0,0.0,0.0,0.0,705.9654166666667,1.0,1.0,1.0,1.0,1.0,25.605536332179934,63.483654166666724
8983,5010.0,1.0,2017.0,535,Rural,Minsk oblast,33.0,Male,512.8325,12.0,Secondary education,Good,100.0,182.0,No,Yes,2 and more adults with children,3.0,1.0,0.0,0.0,0.0,512.8325,47.916666666666664,0.0,0.0,266.65999999999997,200.84,0.0,98.33333333333333,0.0,0.0,0.0,1126.5825,108.824235,0.0,1235.406735,236.24166666666662,48.82166666666667,37.68333333333333,22.866666666666667,0.0,144.06916666666666,4.166666666666667,67.6625,95.45250000000001,74.83333333333333,19.0625,0.3333333333333333,118.39666666666666,166.66666666666666,62.1225,16.490833333333335,59.6525,0.0,0.0,0.0,35.575833333333335,1.6666666666666667,27.083333333333332,0.0,103.575,2.5833333333333335,0.0,43.33333333333333,0.0,1316.5108333333333,1.0,1.0,1.0,1.0,1.0,30.189590629151066,-81.10409833333324
8635,4808.0,2.0,2017.0,438,Small city,Minsk oblast,87.0,Female,0.0,0.0,Basic education,"Not very good, but not bad",68.0,164.0,No,No,All adults older working age,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,629.9166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.9166666666666,8.593131249999999,0.0,638.5097979166667,341.0708333333334,35.74875,0.0,6.666666666666667,0.0,59.248333333333335,0.0,40.915,17.265833333333333,0.0,47.12083333333334,0.0,0.0,0.0,7.649166666666667,3.4583333333333335,0.0,0.0,0.0,0.0,6.741666666666667,0.5058333333333334,1.9999999999999998,0.0,0.0,2.3975,0.0,53.33333333333333,0.0,583.2070833333333,1.0,1.0,1.0,1.0,1.0,25.282569898869724,55.30271458333334
3443,1901.0,1.0,2017.0,381,Large city,Gomel oblast,38.0,Male,387.5,12.0,"Higher education, After Higher education",Good,90.0,172.0,"Yes, in free time",No,2 and more adults with children,4.0,0.0,2.0,0.0,0.0,1150.5766666666668,0.0,0.0,0.0,0.0,0.0,0.0,29.166666666666664,0.0,0.0,15.0,1194.7433333333333,12.962906666666663,54.594166666666666,1262.3004066666667,376.86,14.570833333333333,55.44749999999999,34.2775,0.0,48.62583333333333,0.0,48.62583333333333,24.58083333333333,75.0,18.785,3.2875,92.65666666666667,0.0,65.065,32.54833333333333,2.835,0.0,200.11916666666667,200.11916666666667,27.226666666666667,25.887499999999996,0.0,0.0,126.0875,5.2716666666666665,0.0,55.83333333333333,0.0,1284.9658333333332,1.0,1.0,1.0,1.0,1.0,30.42184964845863,-22.665426666666463
7420,4119.0,3.0,2017.0,2056,Minsk city,Minsk city,20.0,Male,519.0833333333334,12.0,Vocational school,"Not very good, but not bad",64.0,185.0,No,No,Household without children,3.0,0.0,0.0,0.0,0.0,1203.9166666666667,0.0,0.0,0.0,0.0,32.968333333333334,0.0,0.0,0.0,0.0,0.0,1236.885,6.233858333333332,4.185833333333333,1247.3046916666665,458.1566666666667,5.0,70.91083333333333,34.281666666666666,3.0833333333333335,66.76833333333335,0.0,63.39833333333333,53.2325,0.0,21.68,30.28666666666667,69.9925,375.0,69.14916666666667,4.318333333333333,0.0,0.0,0.0,0.0,54.47833333333333,17.40833333333333,0.09833333333333333,50.83333333333333,0.0,1.25,198.33333333333334,0.0,0.0,1584.2616666666665,1.0,1.0,1.0,1.0,1.0,18.699780861943022,-336.95697500000006
2369,1311.0,1.0,2017.0,717,Large city,Vitebsk oblast,24.0,Female,366.3625,12.0,Vocational school,Good,67.0,161.0,"Yes, in establishment of education",Yes,2 and more adults with children,3.0,1.0,0.0,0.0,0.0,670.4341666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.4341666666667,43.552437499999996,0.0,713.9866041666667,187.79666666666665,54.27791666666667,38.18166666666667,8.665,0.0,77.74000000000001,0.0,72.17416666666666,4.802499999999999,0.0,0.0,21.34166666666667,0.0,0.0,72.89916666666667,12.584999999999999,0.0,37.225833333333334,0.0,0.0,35.07833333333333,6.570833333333334,0.0,0.0,0.0,1.75,55.5,0.0,0.0,614.4145833333332,1.0,1.0,1.0,1.0,1.0,25.847768218818715,99.57202083333345
6121,3353.0,1.0,2017.0,302,Rural,Grodno oblast,43.0,Female,539.8583333333333,12.0,Secondary specialized education,"Not very good, but not bad",65.0,166.0,No,No,2 and more adults with children,3.0,0.0,0.0,1.0,0.0,1512.6391666666668,0.0,0.0,0.0,0.0,0.0,0.0,13.75,0.0,0.0,0.0,1526.3891666666668,79.99312499999999,0.0,1606.3822916666668,372.1270833333333,69.49583333333332,109.1075,35.458333333333336,0.0,154.72583333333333,0.0,65.90416666666667,94.76583333333335,107.16666666666667,45.245,37.45833333333333,0.0,0.0,83.6275,104.66583333333334,32.472500000000004,0.0,22.9775,22.9775,38.08083333333333,19.63,1.4166666666666667,50.0,63.175000000000004,4.4625,0.0,198.0,0.0,1644.0587500000001,1.0,1.0,1.0,1.0,1.0,23.588329220496444,-37.67645833333336
6806,3737.0,1.0,2017.0,647,Minsk city,Minsk city,73.0,Female,0.0,0.0,Vocational school,"Not very good, but not bad",73.0,162.0,No,No,All adults older working age,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,792.9025,0.0,0.0,0.0,58.333333333333336,0.0,0.0,0.0,851.2358333333334,61.04199333333332,0.0,912.2778266666667,240.74833333333333,17.311666666666667,4.6241666666666665,2.5141666666666667,0.0,117.12416666666665,0.0,82.35083333333334,84.97083333333333,0.0,151.37083333333334,9.608333333333334,62.69083333333334,0.0,46.62916666666667,13.676666666666666,0.0,0.0,0.0,0.0,14.708333333333336,3.783333333333333,8.705,16.666666666666668,25.0,12.286666666666665,0.0,47.083333333333336,0.0,879.5024999999999,1.0,1.0,1.0,1.0,1.0,27.815881725346742,32.77532666666673
8869,4949.0,1.0,2017.0,1827,Rural,Minsk oblast,44.0,Male,795.8333333333333,12.0,Basic education,"Not very good, but not bad",87.0,176.0,No,No,2 and more adults with children,4.0,0.0,0.0,1.0,0.0,973.0683333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0683333333334,45.584679166666675,0.0,1018.6530125,272.79333333333335,38.46125000000001,58.879999999999995,17.333333333333332,0.0,81.19,0.0,33.36666666666667,28.44333333333334,0.0,16.929166666666667,1.05,76.33333333333334,0.0,74.8775,35.35,0.9233333333333333,0.0,0.0,0.0,24.624166666666667,12.254166666666666,11.023333333333333,121.66666666666666,7.0,0.22416666666666665,48.775000000000006,12.5,0.0,940.6320833333334,1.0,1.0,1.0,1.0,1.0,28.08626033057851,78.02092916666663
6516,3577.0,1.0,2017.0,647,Minsk city,Minsk city,58.0,Female,0.0,0.0,Secondary education,,,,,,All adults older working age,2.0,0.0,0.0,0.0,2.0,514.561111111111,0.0,0.0,339.27222222222224,0.0,0.0,0.0,1.1111111111111112,0.0,0.0,0.0,854.9444444444445,-50.4586,0.0,804.4858444444444,429.7255555555557,16.148888888888887,41.684444444444445,23.052222222222223,0.0,93.05999999999999,0.0,63.059999999999995,22.257777777777775,0.0,30.111111111111114,47.60666666666666,100.63333333333333,0.0,37.123333333333335,0.0,0.0,0.0,0.0,0.0,18.626666666666665,17.484444444444446,90.80222222222223,44.44444444444445,0.0,0.611111111111111,0.0,17.77777777777778,0.0,1031.1499999999999,2.0,2.0,1.0,1.0,1.0,,-226.66415555555545
9448,5243.0,1.0,2017.0,587,Rural,Minsk oblast,50.0,Male,563.0083333333333,12.0,Secondary education,Good,78.0,165.0,No,No,2 and more adults with children,4.0,0.0,2.0,0.0,0.0,591.3416666666667,49.083333333333336,0.0,0.0,0.0,0.0,0.0,124.99999999999999,0.0,0.0,92.58333333333333,858.0083333333333,188.35342458333332,35.54,1081.9017579166668,391.3745833333333,0.9154166666666667,40.556666666666665,11.25,0.0,46.36416666666668,0.0,46.36416666666668,11.509166666666667,0.0,0.49833333333333335,14.5,4.166666666666667,0.0,58.924166666666665,15.149166666666666,42.406666666666666,9.008333333333333,0.35250000000000004,0.0,16.6225,3.3333333333333335,36.833333333333336,100.0,0.0,0.0,0.0,0.0,0.0,803.7649999999999,1.0,1.0,1.0,1.0,1.0,28.650137741046834,278.13675791666697
1227,685.0,2.0,2017.0,443,Rural,Brest oblast,37.0,Male,722.8658333333333,12.0,Secondary specialized education,"Not very good, but not bad",76.0,176.0,No,Yes,2 and more adults with children,3.0,1.0,0.0,0.0,0.0,795.7608333333333,4.0,0.0,0.0,233.71833333333336,0.0,0.0,8.333333333333334,0.0,0.0,0.0,1041.8125,56.245325,1.25,1099.3078249999999,175.0295833333333,22.06041666666667,38.244166666666665,11.108333333333333,0.0,65.77250000000001,8.385833333333332,38.535833333333336,44.93666666666667,8.215,41.51416666666667,2.0683333333333334,67.40416666666667,0.0,64.3475,21.210833333333333,0.0,15.3825,0.0,0.0,33.66833333333334,14.566666666666666,24.029999999999998,83.33333333333333,0.0,1.5158333333333334,8.445,303.4925,0.0,1046.3458333333333,1.0,1.0,1.0,1.0,1.0,24.535123966942148,52.96199166666656
